product_id,title,author_name,price,sales,rating,review_count,category,subcategory,software_version,framework,compatible_with,file_types,last_updated,url,first_seen_run,last_seen_run
52358890,Xrise Admin/Staff Mobile App for Rise CRM,xessglobal,59.0,27,,,mobile,flutter/full-applications,Flutter 3.x,,,"Dart, YAML, PHP, HTML",2024-09-19,https://codecanyon.net/item/xrise-mobile-app-for-rise-crm/52358890,20260812T162636,20260812T162636
59277736,Favorite Links Module For Perfex CRM,sejalinfotech,25.0,27,,,php-scripts,add-ons,"PHP 7.x - 8.x, MySQL 5.x - 8.x",CodeIgniter,,"JavaScript JS, HTML, CSS, PHP",2026-08-03,https://codecanyon.net/item/favorite-links-module-for-perfex-crm/59277736,20260812T162636,20260812T162636
59512445,Anna – AI Copilot & MCP Integration for Perfex CRM,designingmedia,134.0,27,,,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,,"JavaScript JS, JavaScript JSON, HTML, CSS, PHP, SQL",2026-07-15,https://codecanyon.net/item/anna-aipowered-copilot-for-perfex-crm/59512445,20260812T162636,20260812T162636
49908170,Project Management & Freelancer Business Modules Bundle for Perfex CRM,themesic,199.0,25,4.33,6,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,,"JavaScript JS, JavaScript JSON, HTML, XML, CSS, PHP, SQL",2026-07-09,https://codecanyon.net/item/perfex-project-management-freelancer-business-modules-bundle/49908170,20260812T162636,20260812T162636
54836716,Client One-Time Password Module For Perfex CRM,halilaltndg,29.0,25,,,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,,"JavaScript JS, HTML, CSS, PHP",2024-12-22,https://codecanyon.net/item/client-onetime-password-module-for-perfex-crm/54836716,20260812T162636,20260812T162636
61450519,Perfex CRM Webhooks & n8n Automation Module – Real-Time Workflow Integration,corbitaltech,39.0,25,,,php-scripts,add-ons,"PHP 8.x, MySQL 5.x - 8.x",CodeIgniter,,"JavaScript JS, JavaScript JSON, PHP",2026-05-09,https://codecanyon.net/item/perfex-crm-to-n8n-webhooks-realtime-automation-module/61450519,20260812T162636,20260812T162636
25236502,Flutterwave Payment Gateway for Perfex CRM,Techy4m,39.0,23,5.0,4,php-scripts,add-ons,PHP 7.x,CodeIgniter,,PHP,2024-11-06,https://codecanyon.net/item/rave-payment-gateway-for-perfex-crm/25236502,20260812T162636,20260812T162636
33111828,Aircall.io ® module for Perfex crm,by8e,30.0,23,,,php-scripts,add-ons,PHP 7.x,CodeIgniter,,"JavaScript JS, HTML, CSS, PHP",2021-07-24,https://codecanyon.net/item/aircallio-module-for-perfexcrm/33111828,20260812T162636,20260812T162636
56043855,Xero Integration module for Perfex CRM,GreenTech_Solutions,79.0,23,,,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,,"JavaScript JS, HTML, CSS, PHP, SQL",2026-07-28,https://codecanyon.net/item/xero-integration-module-for-perfex-crm/56043855,20260812T162636,20260812T162636
56043884,Zoho Integration module for Perfex CRM,GreenTech_Solutions,79.0,23,,,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,,"JavaScript JS, HTML, CSS, PHP, SQL",2026-07-30,https://codecanyon.net/item/zoho-integration-module-for-perfex-crm/56043884,20260812T162636,20260812T162636
24211160,myPOS Payment Gateway Integration for Perfex CRM,themesic,49.0,22,,,php-scripts,add-ons,PHP 7.x,CodeIgniter,,"JavaScript JS, HTML, CSS, PHP",2026-05-04,https://codecanyon.net/item/mypos-payment-gateway-for-perfex/24211160,20260812T162636,20260812T162636
56303965,Square Payment Gateway for Perfex CRM,Hopperstack,49.0,22,4.67,3,php-scripts,add-ons,PHP 8.x,CodeIgniter,,"JavaScript JS, HTML, PHP, SQL",2025-01-16,https://codecanyon.net/item/square-payment-gateway-for-perfex-crm/56303965,20260812T162636,20260812T162636
