keyword,position,product_id,title,author_name,price,sales,rating,review_count,category,subcategory,software_version,framework,file_types,last_updated
perfex crm,34,64408383,FlexVisual — AI Visual Collaboration Boards for Perfex CRM,flexibyte88,69.0,0,,,php-scripts,add-ons,"PHP 7.x - 8.x, MySQL 5.x - 8.x",CodeIgniter,"JavaScript JS, JavaScript JSON, HTML, CSS, PHP, SQL",2026-07-22
perfex crm,35,53506708,Document Management module for Perfex CRM,GreenTech_Solutions,89.0,207,4.64,11,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2026-07-25
perfex crm,36,57288552,Hosting Manager for Perfex CRM,Hopperstack,59.0,42,2.0,4,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP",2025-11-07
perfex crm,37,33053316,Add-on Statuses Module for Perfex CRM,sejalinfotech,30.0,363,5.0,9,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP",2026-07-27
perfex crm,38,63164662,DupliGuard - Duplicate Detector for Perfex CRM,ticempresarial,25.0,3,,,php-scripts,add-ons,PHP 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2026-06-20
perfex crm,39,61890097,MailboxAI - Webmail + AI Assistant For Perfex CRM,lenzcreativee,79.0,51,,,php-scripts,add-ons,"PHP 7.x - 8.x, MySQL 5.x - 8.x",CodeIgniter,"JavaScript JS, JavaScript JSON, HTML, CSS, PHP, SQL",2026-02-07
perfex crm,40,27597035,Sales Commission Program for Perfex CRM,GreenTech_Solutions,79.0,586,4.97,35,php-scripts,add-ons,PHP 7.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2021-03-28
perfex crm,41,62237887,AI Reports Module for Perfex CRM,ManissDev,19.0,17,,,php-scripts,add-ons,"PHP 8.x, MySQL 5.x - 8.x",CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2026-05-03
perfex crm,42,62255627,Repair Management Module for Perfex CRM,zegapps,44.0,11,,,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP",2026-03-06
perfex crm,43,54360620,Project Templates for Perfex CRM,qualifinic,21.0,92,3.67,3,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML",2024-09-15
perfex crm,44,53565756,Invoice Builder module for Perfex CRM,GreenTech_Solutions,79.0,104,5.0,3,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2026-07-25
perfex crm,45,48238609,Custom Data Tables for Perfex CRM,themesic,59.0,326,4.09,11,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, PHP",2026-07-10
perfex crm,46,57186993,Logistics Management module for Perfex CRM,GreenTech_Solutions,109.0,71,5.0,5,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, JavaScript JSON, HTML, CSS, PHP, SQL",2026-07-26
perfex crm,47,31482935,File Sharing module for Perfex CRM,GreenTech_Solutions,89.0,498,4.81,21,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2026-07-22
perfex crm,48,38350010,Webhooks Automation Module for Perfex CRM,themesic,59.0,634,4.75,8,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP",2026-07-27
perfex crm,49,63500400,News Feed Module For Perfex CRM,sejalinfotech,25.0,2,,,php-scripts,add-ons,"PHP 7.x - 8.x, MySQL 5.x - 8.x",CodeIgniter,"JavaScript JS, HTML, CSS, PHP",2026-08-03
perfex crm,50,53344072,AssetCentral - Assets Management For Perfex CRM,lenzcreativee,79.0,78,5.0,6,php-scripts,add-ons,"PHP 7.x - 8.x, MySQL 5.x - 8.x",CodeIgniter,"JavaScript JS, JavaScript JSON, HTML, CSS, PHP, SQL",2024-07-15
perfex crm,51,50192137,PDF Customizer module for Perfex CRM,themesic,59.0,206,4.29,7,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2026-07-10
perfex crm,52,53420896,Fleet Management module for Perfex CRM,GreenTech_Solutions,99.0,129,5.0,10,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2026-07-25
perfex crm,53,53620283,Service Management module for Perfex CRM,GreenTech_Solutions,89.0,108,5.0,8,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2026-07-26
perfex crm,54,63426906,DailyBrief — Staff Daily Digest for Perfex CRM,ticempresarial,25.0,5,,,php-scripts,add-ons,PHP 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2026-06-20
perfex crm,55,62096561,AI Lead Scoring for Perfex CRM,ManissDev,19.0,17,,,php-scripts,add-ons,"PHP 8.x, MySQL 5.x - 8.x",CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2026-02-28
perfex crm,56,33392459,Lead Manager  Module for Perfex CRM,zonvoir,42.0,580,4.45,20,php-scripts,add-ons,"PHP 7.x, MySQL 5.x",CodeIgniter,"JavaScript JS, HTML, CSS, PHP",2025-09-22
perfex crm,57,48461789,Staff Approvals Management For Perfex CRM,lenzcreativee,69.0,123,5.0,3,php-scripts,add-ons,"PHP 7.x - 8.x, MySQL 5.x - 8.x",CodeIgniter,"JavaScript JS, JavaScript JSON, HTML, CSS, PHP, SQL",2026-05-09
perfex crm,58,39695653,Advanced Email System for Perfex CRM,themesic,49.0,269,5.0,5,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2026-07-10
perfex crm,59,45928441,PrediX - AI Module For Perfex CRM,lenzcreativee,79.0,192,5.0,12,php-scripts,add-ons,"PHP 7.x - 8.x, MySQL 5.x - 8.x",CodeIgniter,"JavaScript JS, JavaScript JSON, HTML, CSS, PHP, SQL",2026-02-21
perfex crm,60,61686467,Policy and Claims Management for Perfex CRM,Vital_Hosting,39.0,16,,,php-scripts,add-ons,PHP 8.x,CodeIgniter,"JavaScript JS, JavaScript JSON, HTML, CSS, PHP, SQL",2026-02-16
perfex crm,61,28622550,Timesheets and Leave Management module for Perfex CRM,GreenTech_Solutions,99.0,1200,4.8,56,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2026-08-01
perfex crm,62,24237485,Perfex CRM Dark Theme,i-Dev,39.0,264,,,php-scripts,add-ons,"PHP 7.x - 8.x, MySQL 5.x - 8.x",CodeIgniter,"JavaScript JS, HTML, CSS, PHP",2026-06-28
perfex crm,63,63990406,LinkedIn Lead Pro Module For Perfex CRM,halilaltndg,24.0,0,,,php-scripts,add-ons,"PHP 7.x - 8.x, MySQL 5.x - 8.x",CodeIgniter,"JavaScript JS, HTML, PHP",2026-06-24
perfex crm,64,51099618,Delivery Note Module for Perfex CRM,ulutfa,59.0,97,5.0,6,php-scripts,add-ons,"PHP 7.x - 8.x, MySQL 5.x - 8.x",CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2026-07-02
perfex crm,65,48685403,Task Templates for Perfex CRM,qualifinic,21.0,155,,,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, PHP",2024-09-15
perfex crm,66,60316494,Whiteboard Module for Perfex CRM,codeonstring,29.0,14,,,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, JavaScript JSON, HTML, CSS, PHP",2026-04-26
perfex crm,67,51924816,Extra Settings Module For Perfex CRM,halilaltndg,39.0,144,4.9,10,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS",2025-12-03
perfex crm,68,32135734,Perfex Wiki - Internal knowledge for Perfex CRM,techfago_scripts,49.0,273,3.88,8,php-scripts,add-ons,PHP 7.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2023-07-18
perfex crm,69,33455479,Reminder module for Perfex CRM,zonvoir,30.0,212,,,php-scripts,add-ons,PHP 7.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP",2025-08-29
perfex crm,70,61242675,Additional Fields Builder for Perfex CRM,codeonstring,39.0,17,,,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JSON, HTML, CSS, PHP",2026-07-12
perfex crm,71,62402925,PulseChat - OmniChannel AI Customer Service module for Perfex CRM,themesic,59.0,52,4.2,5,php-scripts,add-ons,"PHP 7.x - 8.x, MySQL 5.x - 8.x, Other",CodeIgniter,"JavaScript JS, JavaScript JSON, HTML, CSS, PHP, SQL",2026-08-06
perfex crm,72,54061000,AWS S3 Integration for Perfex CRM,ManissDev,19.0,93,5.0,6,php-scripts,add-ons,"PHP 8.x, MySQL 5.x - 8.x",CodeIgniter,"HTML, PHP, SQL",2026-03-01
perfex crm,73,54022516,SMS Management Module for Perfex CRM,halilaltndg,34.0,45,5.0,5,php-scripts,add-ons,"PHP 8.x, MySQL 5.x - 8.x",CodeIgniter,"JavaScript JS, HTML, PHP",2025-07-24
perfex crm,74,61447954,Offline Banking for Perfex CRM,PHPLABOR,49.0,6,,,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, CSS, PHP",2026-02-20
perfex crm,75,62498560,Flexible Media Gallery for Perfex CRM,flexibyte88,49.0,4,,,php-scripts,add-ons,"PHP 7.x - 8.x, MySQL 5.x - 8.x",CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2026-04-21
perfex crm,76,56100832,Project Management Enhancements Module for Perfex CRM,zegapps,65.0,117,4.0,3,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS",2026-03-14
perfex crm,77,53668621,Lead Checklist Module For Perfex CRM,halilaltndg,39.0,46,5.0,4,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS",2025-02-19
perfex crm,78,31253991,Multi Theme for Perfex CRM,zonvoir,25.0,114,,,php-scripts,,PHP 7.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP",2025-06-04
perfex crm,79,50007506,Project Task Manage For Perfex CRM,halilaltndg,49.0,110,4.2,5,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP",2024-12-30
perfex crm,80,29992428,Customer Loyalty and Memberships for Perfex CRM,GreenTech_Solutions,79.0,185,4.6,10,php-scripts,add-ons,PHP 7.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2021-05-20
perfex crm,81,63133110,ServiceDesk - Repair & Work Order Manager for Perfex CRM,by8e,40.0,20,,,php-scripts,add-ons,PHP 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP",2026-08-08
perfex crm,82,59095853,Line Item Discount for Perfex CRM,halilaltndg,39.0,35,,,php-scripts,add-ons,"PHP 7.x - 8.x, MySQL 5.x - 8.x",CodeIgniter,"JavaScript JS, HTML, CSS, PHP",2026-03-11
perfex crm,83,57278608,Advanced Permissions Management Module for Perfex CRM,zegapps,59.0,63,5.0,4,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS",2026-01-25
perfex crm,84,28024258,Omni Channel Sales module for Perfex CRM,GreenTech_Solutions,99.0,554,4.61,33,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2026-07-22
perfex crm,85,63521612,Trash Bin for Perfex CRM with One-Click Restore,Hopperstack,29.0,4,,,php-scripts,add-ons,PHP 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP",2026-05-21
perfex crm,86,37327693,Fixed Equipment Management module for Perfex CRM,GreenTech_Solutions,99.0,396,4.95,22,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2026-07-24
perfex crm,87,62595906,Gym Management Module for Perfex CRM,Hopperstack,59.0,3,,,php-scripts,add-ons,PHP 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP",2026-05-04
perfex crm,88,60924685,Rental Management module for Perfex CRM,GreenTech_Solutions,79.0,16,,,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2026-07-29
perfex crm,89,54202997,Sketchboard Module for Perfex CRM,Hopperstack,49.0,31,,,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP",2026-04-24
perfex crm,90,55015831,CashFlow Module for Perfex CRM,zonvoir,39.0,24,,,php-scripts,add-ons,PHP 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP",2026-03-26
perfex crm,91,50559370,Email Manager with AI Assistant for Perfex CRM,halilaltndg,49.0,197,5.0,15,php-scripts,add-ons,"PHP 7.x - 8.x, MySQL 5.x - 8.x",CodeIgniter,"JavaScript JS, HTML, CSS, PHP",2026-07-31
perfex crm,92,53534945,Customer Service Management module for Perfex CRM,GreenTech_Solutions,89.0,104,5.0,6,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2026-07-25
perfex crm,93,37271690,Affiliate Management module for Perfex CRM,GreenTech_Solutions,89.0,110,4.29,7,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2026-07-24
perfex crm,94,54817706,Rescue Mode For Perfex CRM,lenzcreativee,49.0,19,,,php-scripts,add-ons,"PHP 7.x - 8.x, MySQL 5.x - 8.x",CodeIgniter,"JavaScript JS, JavaScript JSON, HTML, CSS, Stylus, SQL",2026-05-09
perfex crm,95,63404011,PolyCMS – CMS & Website Builder Module for Perfex CRM,polyxgo,19.0,18,,,php-scripts,add-ons,"PHP 8.x, MySQL 8.x",CodeIgniter,"JavaScript JS, JavaScript JSON, HTML, CSS, PHP",2026-06-24
perfex crm,96,42314050,MailChimp Module for Perfex CRM,zonvoir,30.0,44,,,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP",2023-01-18
perfex crm,97,56303965,Square Payment Gateway for Perfex CRM,Hopperstack,49.0,22,4.67,3,php-scripts,add-ons,PHP 8.x,CodeIgniter,"JavaScript JS, HTML, PHP, SQL",2025-01-16
perfex crm,98,40021476,Sales Agent Management module for Perfex CRM,GreenTech_Solutions,99.0,240,5.0,10,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2026-07-24
perfex crm,99,57583455,Testimonials and Reviews for Perfex CRM,flexibyte88,59.0,16,,,php-scripts,add-ons,"PHP 7.x - 8.x, MySQL 5.x - 8.x",CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2025-10-21
perfex crm,100,53800245,Report Builder module for Perfex CRM,GreenTech_Solutions,89.0,92,,,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2026-07-26
perfex crm,101,61099524,PEPPOL Integration Module for Perfex CRM,ulutfa,99.0,10,,,php-scripts,add-ons,"PHP 7.x - 8.x, MySQL 5.x - 8.x",CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2026-06-16
perfex crm,102,59654508,Login Security Bundle for Perfex CRM,codeonstring,29.0,22,,,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, JavaScript JSON, HTML, CSS, PHP",2026-05-09
perfex crm,103,31483023,Multichannel Two Factor Authentication for Perfex CRM,GreenTech_Solutions,69.0,230,5.0,10,php-scripts,add-ons,PHP 7.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2021-04-18
perfex crm,104,57657550,MyShopify Module for Perfex CRM,Hopperstack,100.0,9,,,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP",2025-04-13
perfex crm,105,53691837,Warranty Management module for Perfex CRM,GreenTech_Solutions,79.0,41,5.0,4,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2026-07-26
perfex crm,106,63526864,FlagGuard — Rule Engine & Smart Alerts for Perfex CRM,ticempresarial,25.0,8,,,php-scripts,add-ons,PHP 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2026-06-20
perfex crm,107,55374605,Multiple Address Module for Perfex CRM,halilaltndg,29.0,38,5.0,5,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML",2026-04-22
perfex crm,108,56713020,Account Management Advancements for Perfex CRM,zegapps,49.0,39,,,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS",2026-03-19
perfex crm,109,62053398,Scheduled Maintenance Mode for Perfex CRM,codeonstring,19.0,4,,,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JSON, HTML, CSS, PHP",2026-02-20
perfex crm,110,27912036,Custom Task Filters Module for Perfex CRM,sejalinfotech,22.0,251,4.78,9,php-scripts,add-ons,PHP 7.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP",2026-07-27
perfex crm,111,57523732,Workshop Management module for Perfex CRM,GreenTech_Solutions,89.0,45,,,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2026-07-27
perfex crm,112,27643032,Call Log 1.2.0 module for Perfex CRM,weebdigital,39.0,406,3.78,23,php-scripts,,PHP 7.x,CodeIgniter,"HTML, XML, CSS",2021-05-12
perfex crm,113,50659648,Google Lead Finder module for Perfex CRM,flexibyte88,49.0,155,4.2,5,php-scripts,add-ons,"PHP 7.x - 8.x, MySQL 5.x - 8.x",CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2025-01-21
perfex crm,114,59277736,Favorite Links Module For Perfex CRM,sejalinfotech,25.0,27,,,php-scripts,add-ons,"PHP 7.x - 8.x, MySQL 5.x - 8.x",CodeIgniter,"JavaScript JS, HTML, CSS, PHP",2026-08-03
perfex crm,115,37260381,Video library module for Perfex Crm,zonvoir,25.0,112,4.0,4,php-scripts,add-ons,PHP 7.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP",2025-06-04
perfex crm,116,33744597,Dynamic Customized Theme Module for Perfex CRM,sejalinfotech,49.0,327,4.8,10,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP",2026-08-10
perfex crm,117,31462895,Advanced Lead Filters Module for Perfex CRM,sejalinfotech,30.0,293,4.86,7,php-scripts,add-ons,PHP 7.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP",2026-07-27
perfex crm,118,33392457,Add-on SMS Manager Module for Perfex CRM,sejalinfotech,30.0,202,4.57,7,php-scripts,add-ons,PHP 7.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP",2026-08-03
perfex crm,119,61202057,Regulatory Compliance Management Module for Perfex CRM,zegapps,80.0,15,,,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP",2026-04-19
perfex crm,120,33175615,Advanced To do Manager Module for Perfex CRM,sejalinfotech,24.0,180,5.0,4,php-scripts,add-ons,PHP 7.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP",2026-07-27
perfex crm,121,60296713,Quality Management module for Perfex CRM,GreenTech_Solutions,79.0,16,,,php-scripts,add-ons,PHP 7.x - 8.x,CodeIgniter,"JavaScript JS, HTML, CSS, PHP, SQL",2026-07-29
perfex crm,122,47832723,ImportSync - CSV Mapping For Perfex CRM,lenzcreativee,69.0,74,,,php-scripts,add-ons,"PHP 7.x - 8.x, MySQL 5.x - 8.x",CodeIgniter,"JavaScript JS, JavaScript JSON, HTML, CSS, PHP, SQL",2026-05-09
